setName,avgPrice,releaseYear
Final Fantasy,17654.7,2025
Final Fantasy Commander,5562.02,2025
Edge of Eternities: Stellar Sights,5514.26,2025
Edge of Eternities,4983.02,2025
MagicFest 2025,4166.49,2025
Innistrad Remastered,3126.99,2025
Marvel's Spider-Man,2814.72,2025
Aetherdrift,2327.27,2025
Tarkir: Dragonstorm,2307.25,2025
Final Fantasy Promos,1880.34,2025
Final Fantasy: Through the Ages,1850.81,2025
Tarkir: Dragonstorm Promos,852.94,2025
Spotlight Series,842.61,2025
Tarkir: Dragonstorm Commander,545.81,2025
Aetherdrift Promos,532.91,2025
Marvel's Spider-Man Eternal,477.32,2025
Year of the Snake 2025,373.29,2025
Edge of Eternities Promos,368.82,2025
Edge of Eternities Commander,167.19,2025
Aetherdrift Commander,162.82,2025
Wizards Play Network 2025,86.52,2025
FIN Standard Showdown,61.82,2025
The Big Score Promos,54.5,2025
Love Your LGS 2025,6.26,2025
Ravnica Remastered,16634.57,2024
Fallout,7337.78,2024
Foundations,7183.2,2024
Modern Horizons 3,6094.53,2024
Mystery Booster 2,4779.65,2024
Bloomburrow Commander,3072.73,2024
Bloomburrow,2919.4,2024
Duskmourn: House of Horror,2845.6,2024
Murders at Karlov Manor,2584.29,2024
The Big Score,1548.34,2024
Assassin's Creed,1434.63,2024
Breaking News,969.47,2024
Duskmourn: House of Horror Promos,880.44,2024
Murders at Karlov Manor Promos,866.83,2024
Bloomburrow Promos,793.9,2024
Modern Horizons 3 Promos,775.04,2024
Outlaws of Thunder Junction,645.48,2024
Outlaws of Thunder Junction Promos,636.94,2024
Modern Horizons 3 Commander,599.93,2024
Foundations Jumpstart,534.77,2024
Foundations Promos,436.25,2024
Ravnica: Clue Edition,435.82,2024
Duskmourn: House of Horror Commander,432.67,2024
Murders at Karlov Manor Commander,334.22,2024
Outlaws of Thunder Junction Commander,329.97,2024
Modern Horizons 2 Timeshifts,156.82,2024
Year of the Dragon 2024,153.05,2024
Wizards Play Network 2024,64.22,2024
Cowboy Bebop,21.8,2024
MagicFest 2024,7.12,2024
Foundations Commander,5.2,2024
Love Your LGS 2024,3.18,2024
Tales of Middle-earth Deluxe Commander Kit,2.47,2024
Multiverse Legends,11097.19,2023
Lord of the Rings: Tales of Middle-Earth,9869.79,2023
Secret Lair Showdown,9432.68,2023
Special Guests,6764.15,2023
Commander Masters,6578.94,2023
Tales of Middle Earth Commander,5484.73,2023
Universes Beyond: Doctor Who,5352.22,2023
Wilds of Eldraine: Enchanting Tales,4712.25,2023
Jurassic World Collection,3892.96,2023
March of the Machine,2655.22,2023
The Lost Caverns of Ixalan,2158.02,2023
Phyrexia: All Will Be One,2005.42,2023
Dominaria Remastered,1515.52,2023
Lost Caverns of Ixalan Commander,1025.23,2023
March of the Machine: The Aftermath,983.74,2023
Tales of Middle-earth Promos,946.04,2023
Phyrexia: All Will Be One Promos,830.32,2023
March of the Machine Promos,745.08,2023
Wilds of Eldraine Promos,685.6,2023
Wilds of Eldraine,619.08,2023
The Lost Caverns of Ixalan Promos,612.06,2023
March of the Machine Commander,572.69,2023
Wilds of Eldraine Commander,383.67,2023
Phyrexia: All Will Be One Commander,358.95,2023
Regional Championship Qualifiers 2023,187.96,2023
Judge Gift Cards 2023,141.09,2023
Year of the Rabbit 2023,56.46,2023
March of the Machine: The Aftermath Promos,53.09,2023
MagicFest 2023,41.81,2023
Time Spiral Remastered Promos,40.43,2023
Unknown Event,26.21,2023
Wizards Play Network 2023,23.46,2023
30th Anniversary Edition,70092.68,2022
The Brothers' War Retro Artifacts,13628.77,2022
Eternal Weekend 2022,10670.69,2022
Double Masters 2022,5263.34,2022
Commander Legends: Battle for Baldur's Gate,2497.91,2022
"Warhammer 40,000",2395.92,2022
Unfinity,2316.19,2022
Kamigawa: Neon Dynasty,2054.2,2022
Transformers,1772.12,2022
Innistrad: Double Feature,1515.88,2022
Store Championships 2022,1276.12,2022
New Capenna Commander Promos,987.4,2022
Dominaria United,917.7,2022
Battle for Baldur's Gate Promos,890.86,2022
Streets of New Capenna,820.06,2022
Jump Start 2022,700.68,2022
Dominaria United Promos,679.65,2022
New Capenna Commander,678.79,2022
30th Anniversary History Promos,656.9,2022
The Brothers' War Promos,611.89,2022
